city,granularity,model,test_mae,test_rmse,test_r2,canonical_role,audit_status
CDMX,monthly,GLM,1.83435,2.805568,0.349919,,ok
CDMX,monthly,RF,1.53141,2.150928,0.6179,best_predictive_baseline,ok
CDMX,monthly,XGBoost,1.531555,2.154386,0.61667,transfer_compatible_baseline,ok
Chicago,monthly,GLM,2.430032,3.564207,0.590653,,ok
Chicago,monthly,RF,1.97731,2.955229,0.718585,best_predictive_baseline,ok
Chicago,monthly,XGBoost,2.172454,3.064449,0.697399,transfer_compatible_baseline,ok
London,monthly,GLM,4.286215,14.004391,0.355436,,ok
London,monthly,RF,2.769608,7.45532,0.817329,best_predictive_baseline,ok
London,monthly,XGBoost,3.002454,9.742109,0.68808,transfer_compatible_baseline,ok
